name,latitude,longitude,postcode,chargeDeviceStatus,deviceControllerName
2 Riddons Road,51.431454,0.031175,SE12 9QR,In service,Source London
9 Bath Road Car Park,51.48092,-0.419318,TW6 2AA ,Out of service,Source London
ACE Cafe London,51.54121,-0.277943,NW10 7UD,In service,Source London
Acton Street,51.52834,-0.118619,WC1X 9LZ,Out of service,Source London
Albemarle Street,51.509939,-0.142737,W1S 4BS,In service,Source London
Alcorn Close,51.37852,-0.202034,SM3 9PX,In service,Source London
Aldermans Hill,51.618522,-0.11167,N13 4YD,In service,Source London
Alexandra Road/Holloway Street CP,51.469744,-0.363063,TW3 1LS,In service,Source London
Arnos Grove Station Car Park 1,51.616451,-0.13286,N11 1BA,In service,Source London
Asda Bexleyheath,51.458198,0.142816,DA6 7BN,In service,Source London
Asda Charlton,51.488779,0.022515,SE7 7ST,In service,Source London
Asda Colindale,51.593928,-0.261281,NW9 0AS,In service,Source London
Asda Dagenham,51.530281,0.142523,RM9 6SJ,In service,Source London
Asda Greenhithe,51.452537,0.275216,DA9 9BT,In service,Source London
Asda Kingston on Thames,51.411135,-0.28965,KT2 6QL,In service,Source London
Asda Leyton,51.555913,-0.009736,E10 5NH,In service,Source London
Asda Mitcham,51.407436,-0.169209,CR4 3EB,In service,Source London
Asda Northolt Road,51.557969,-0.360619,HA28JN,In service,Source London
Asda Park Royal,51.52929,-0.269699,NW107LW,In service,Source London
Asda Roehampton,51.439365,-0.245991,SW15 3DT,In service,Source London
Asda Stamford Hill,51.573702,-0.071216,E59AG,In service,Source London
Asda Swanley ,51.397043,0.174689,BR8 7UN,In service,Source London
Asda Watford,51.679995,-0.391451,WD247RT,In service,Source London
Asda Wembley,51.56422,-0.275429,HA9 9EX,In service,Source London
Barking Road,51.519913,0.017249,E13 8EQ,In service,Source London
Baynard House Car Park 1,51.511987,-0.100486,EC4V 4BQ,Out of service,Source London
Belgrave Road Car Park,51.398398,-0.075466,SE25 5AL,In service,Source London
Belsize Place,51.549692,-0.171192,NW3 5AJ,Out of service,Source London
Bentley Road Car Park,51.545689,-0.077189,N1 4BY,In service,Source London
Berkeley Square 1,51.509531,-0.144815,W1J 6EF,In service,Source London
Bernard Street,51.523416,-0.12332,WC1N 1LN,Out of service,Source London
Biddulph Road,51.528073,-0.187326,W9 1JB,Out of service,Source London
Bisham Gardens,51.570353,-0.146322,N6 6DD,Out of service,Source London
Blackheath Grove Car Park,51.4664,0.009734,SE3 0DG,In service,Source London
Blackhorse Road Station Car Park 1,51.587386,-0.041217,E17 6ND ,In service,Source London
Blagdon Road Car Park,51.40034,-0.253348,KT3 4AH,In service,Source London
Blissett Street,51.474621,-0.012485,SE10 8UP,In service,Source London
Blissett Street,51.475092,-0.0116,SE10 8UP,In service,Source London
Bocking Street,51.537303,-0.057225,E84RU,In service,Source London
Borough Market,51.506078,-0.091005,SE1 1TL,Out of service,Source London
Botwell Green Sports and Leisure Complex,51.509273,-0.420701,UB3 2HW,In service,Source London
Brandville Road Car Park,51.507454,-0.471399,UB7 7LT,In service,Source London
Brent South Retail Park,51.5722,-0.224629,NW2 1LS,In service,Source London
Brentford Fountain Leisure Centre,51.490385,-0.285346,TW8 0HJ,In service,Source London
Brentford High Street Car Park,51.485367,-0.300715,TW8 0NG,In service,Source London
Bridge Road,51.363739,-0.299159,KT9 2RT,In service,Source London
Britannia Leisure Centre,51.53585,-0.083674,N1 5JU,In service,Source London
Bromley NCP - The Mall,51.40218,0.018289,BR1 1TR,In service,Source London
Burghley Road,51.557055,-0.13903,NW5 1AL,In service,Source London
Bury Road Car Park Level 1,51.59312,-0.10565,N22 6JA,In service,Source London
Cadogan Road East,51.494311,0.074421,SE18 6SN,Out of service,Source London
Cadogan Road West,51.494028,0.072651,SE18 6YU,In service,Source London
Calderwood Car Park,51.491071,0.063902,SE18 6QW,In service,Source London
Canary Wharf 1,51.504622,-0.01628,E14 5EW,In service,Source London
Carlisle Street,51.515117,-0.132986,W1D 3BX,Out of service,Source London
Cattle Market Car Park (basement),51.409984,-0.298939,KT1 2PW,In service,Source London
Cedars Car Park,51.547779,-0.481442,UB8 1ND,In service,Source London
Chalfont & Latimer Station Car Park 1,51.668573,-0.561813,HP7 9PR,In service,Source London
Charing Cross Hospital,51.486559,-0.220487,W6 9NT,In service,Source London
Charlotte Street,51.519285,-0.135525,W1T 2NH,Out of service,Source London
Cheam Street,51.465208,-0.05823,SE15 3QF,In service,Source London
Chiswick Peugeot (Robins & Day),51.492346,-0.281729,W4 5QD,In service,Source London
Church Row,51.555523,-0.178964,NW3 6UR,Out of service,Source London
Church Street,51.625458,-0.062737,N9 9DU,In service,Source London
Circus Road,51.533632,-0.17234,NW8 6PE,In service,Source London
Civic Centre Car Park 1,51.403879,0.020391,BR1 3UH,In service,Source London
Civic Centre Car Park 2,51.543617,-0.476692,UB8 2NZ,In service,Source London
Claremont Road,51.394559,-0.304312,KT6 4RF,In service,Source London
Clarendon Rise/Albion Way Car Park,51.460762,-0.008725,SE13 6BT,In service,Source London
Clements Road Multi Storey CP ,51.557015,0.072065,IG1 1LG,In service,Source London
Clifton Villas,51.522475,-0.18527,W9 2PH,In service,Source London
Clissold Road,51.557383,-0.083433,N16 9EU,Out of service,Source London
Cockfosters Station Car Park 1,51.652024,-0.149902,EN4 0DZ,In service,Source London
Concert Hall Approach,51.504865,-0.11539,SE1 8XU,In service,Source London
Copperfield Street,51.503093,-0.097657,SE1 0EP,In service,Source London
Cornthwaite Road,51.55799,-0.052564,E5 ,In service,Source London
Coverton Road,51.428398,-0.173291,SW17 0QW,In service,Source London
Crestfield Street,51.529518,-0.122521,WC1H 8AT,Out of service,Source London
Crouch Hall Road Car Park,51.579177,-0.124935,N8 8HJ,In service,Source London
Croydon Nissan,51.348263,-0.100816,CR2 6EU,In service,Source London
Currie Motors (Great West Road),51.490509,-0.30872,TW8 9DP,In service,Source London
Currie Motors Isleworth,51.46737,-0.333691,TW7 6DS,In service,Source London
Currie Motors Kingston,51.415346,-0.252016,SW20 0AD,In service,Source London
Currie Motors Twickenham,51.45439,-0.33723,TW1 1ER,In service,Source London
Cuthbert Road,51.615281,-0.063994,N18 2QE,In service,Source London
Danby Street,51.466592,-0.073433,SE15 4BX,Out of service,Source London
Danecroft Road,51.456087,-0.093134,SE24 9PA,In service,Source London
Deans Gardens Car Park,51.509883,-0.32215,W13 9HW,In service,Source London
Doddington Grove,51.486509,-0.103129,SE17 3SX,In service,Source London
Doggett Road,51.445703,-0.024347,SE6 4QA,In service,Source London
Doughty Street,51.524617,-0.117504,WC1N 1DA,Out of service,Source London
East Dulwich Grove,51.459683,-0.075494,SE22 8PP,Out of service,Source London
East Parkside,51.49584,0.013578,SE10 0BG,Out of service,Source London
Eaton Square,51.494528,-0.153679,SW1W 9BG,In service,Source London
Epsom General Hospital,51.324567,-0.273913,KT18 7JX,In service,Source London
Epsom Race Course ,51.313482,-0.253523,KT18 5LQ,In service,Source London
Euston Station Car Park 1,51.527632,-0.132849,NW1 2RT,In service,Source London
ExCeL London Exhibition Centre 1,51.507979,0.027732,E16 1XL,In service,Source London
Exchange Shopping Centre Car Park 1,51.46398,-0.216975,SW15 1TW,Out of service,Source London
Exeter Street,51.511797,-0.119935,WC2E ,In service,Source London
Fairfield Road,51.409197,-0.29986,KT1 2PS,In service,Source London
Fairfield Road Car Park ,51.5139,-0.472019,UB7 8EY,In service,Source London
Fairhazel Gardens,51.542168,-0.181156,NW6 3QE,Out of service,Source London
Featherstone Terrace Car Park,51.503302,-0.383114,UB2 5AL,In service,Source London
Fleet Road,51.553554,-0.162209,NW3 2QX,Out of service,Source London
Fore Street ,51.614933,-0.064182,N18 2QE,In service,Source London
Francis Street 1,51.495977,-0.137269,SW1P 1QP,In service,Source London
Frankham Street car park,51.477174,-0.024658,SE8,Out of service,Source London
Garnet Road car park,51.398009,-0.097391,CR7 8RD,Out of service,Source London
Garnham Street,51.562491,-0.073003,N16 7JB,In service,Source London
Gatwick Airport North Terminal,51.160771,-0.175473,RH6 0PJ,Out of service,Source London
Gatwick Airport South Terminal,51.156806,-0.159427,RH6 0NP,Out of service,Source London
Genotin Road,51.650837,-0.07932,EN2 6EL,In service,Source London
Gibson Road Car Park,51.362238,-0.196998,SM1 2RF,In service,Source London
Gomm Road,51.495448,-0.053228,SE16 2TY,In service,Source London
Gore Road ,51.536483,-0.044109,E9 7HW,In service,Source London
Grainges Car Park,51.545902,-0.481663,UB8 1LN,In service,Source London
Grant Road,51.465207,-0.171721,SW11 2NU,In service,Source London
Granville Gardens Car Park,51.413467,-0.124115,SW16 ,Out of service,Source London
Green Lane Car Park,51.611882,-0.427425,HA6 2XP,In service,Source London
Greencroft Gardens,51.545506,-0.180143,NW6 3LR,Out of service,Source London
Greenland Street,51.538454,-0.141014,NW1 0ND,In service,Source London
Hanworth Air Park Leisure Centre and Library,51.440552,-0.391503,TW13 5EG,In service,Source London
Harlequin Shopping Centre,51.655235,-0.392357,WD17 2UB,In service,Source London
Harrow Civic Centre Car Park,51.589941,-0.332906,HA1 2XY,In service,Source London
Hatfield Road Car Park,51.506722,-0.585805,SL1 1QE,In service,Source London
Haverstock Hill Road,51.549349,-0.163013,NW3 2AT,Out of service,Source London
Heathrow Airport Terminal 1,51.472202,-0.452016,TW6 1RU,Out of service,Source London
Heathrow Airport Terminal 3,51.471399,-0.455254,TW6 1QG,Out of service,Source London
Heathrow Airport Terminal 4,51.45919,-0.445245,TW6 3YD,In service,Source London
Heathrow Airport Terminal 5,51.47241,-0.490022,TW6 2GA,Out of service,Source London
Herschel Car Park,51.507711,-0.59478,SL1 1XS,Out of service,Source London
High Barnet Station Car Park 1,51.650654,-0.194741,EN5 5RP ,In service,Source London
High Street Purley,51.337792,-0.115663,CR8 2AY,In service,Source London
Highgrove Pool,51.580227,-0.409178,HA4 8DZ,In service,Source London
Hill Car Park,51.406441,0.008455,BR2 0DA,In service,Source London
Hillingdon Sports and Leisure Complex ,51.552936,-0.467928,UB8 1ES,In service,Source London
Hinde Street,51.516833,-0.151653,W1U 3BJ,In service,Source London
Holbeach Road Car Park,51.446872,-0.021691,SE6 4TW,In service,Source London
Holborn Studios,51.53392,-0.092738,N1 7ED,Out of service,Source London
Holland Street,51.506937,-0.10071,SE1 9NX,In service,Source London
Homerton Hospital Car park,51.549749,-0.045288,E9 8BX,In service,Source London
Hook Road Car Park,51.367871,-0.306275,KT9 1AF,In service,Source London
Horseferry Place,51.482478,-0.01341,SE10 9HG,In service,Source London
Horseferry Road,51.494795,-0.130243,SW1P 2AA,In service,Source London
Horselydown Lane,51.502992,-0.076609,SE1 2LN,Out of service,Source London
Ikea Croydon,51.379884,-0.123865,CR0 4UZ,In service,Source London
Ikea Wembley 1,51.553277,-0.260264,NW10 0TH,In service,Source London
Ilford Town Hall Car Park,51.558409,0.074567,IG1 1EQ,In service,Source London
Isleworth Leisure Centre & Library,51.465714,-0.330484,TW7 7EU,In service,Source London
Jemca Edgware Road,51.580783,-0.242659,NW9 6BH,In service,Source London
John Street,51.521318,-0.114743,WC1X 8PF,In service,Source London
Kempton Park Race Course,51.418503,-0.408629,TW16 5AQ,In service,Source London
